Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt,Accuracy of AI response,Image authentic?,HRVar
3,converstational,no,0.425353989,0.281462239,0.391539939,0.275278496,0.082308756,-2545.238519,149416.2161,117724.2668,8180.52608,34.21289163,-0.051214286,0.242511905,0.952608631,1.130879464,0.536794643,0.180512308,2.965256798,-121.3690476,95.70982143,3.34e-05,0.127272818,55.07464321,21.55555556,3920.0,1.0,23.196176,5.0,24.461332,1.0,25.544293,1.0,0.0,3.166666666666667
3,converstational,no,0.413770289,0.405224222,0.366212283,0.436562335,0.082959704,-2678.696684,149480.4839,117817.1835,8184.046371,34.17724,-0.065945783,0.266803213,0.948819277,1.078032129,0.715280242,0.153383648,3.291164659,-121.5682731,95.36947791,2.54e-05,0.137777933,46.08822667,22.75,6220.0,1.0,14.8956207,4.0,15.6645989,1.0,17.4549339,1.0,0.0,1.2583057392117916
3,converstational,no,0.431285639,0.349283523,0.385964737,0.343073606,0.083512872,-2790.389168,149520.057,117866.0654,8169.068792,34.12738674,-0.068904682,0.268765886,0.947924749,1.067285953,0.694127303,0.113522887,3.491638796,-121.8578595,95.23578595,2.82e-05,0.115555667,41.9478125,20.75,4950.0,2.0,19.7652026,2.0,22.2326741,3.0,23.1433375,0.0,1.0,0.957427107756338
3,converstational,no,0.45515417,0.358877927,0.416689141,0.372756729,0.08405774,-2898.976591,149523.9685,117876.2049,8157.637478,34.07202907,-0.069361888,0.268555944,0.947994755,1.06791958,0.673437063,0.111663004,3.461538462,-121.8898601,95.31118881,2.12e-05,0.087179615,38.17092464,20.33333333,4573.333333,2.0,15.1664326,5.0,16.043346,1.0,17.9763558,0.0,0.0,0.816496580927726
3,converstational,no,0.417757558,0.380423509,0.386885766,0.376150213,0.084537566,-2993.461997,149345.5674,117861.0701,8048.462347,34.01055491,-0.069624782,0.268369983,0.947835951,1.068153578,0.664033159,0.10754409,3.596858639,-121.9808028,95.31064572,2.91e-05,0.123809571,31.44307429,30.8,2192.0,1.0,19.1924976,3.0,19.7722895,1.0,21.5088368,1.0,1.0,7.612854625930772
3,converstational,no,0.439397815,0.454529907,0.403494033,0.479624291,0.085016815,-3086.753333,149157.8059,117904.4982,8006.619048,33.95310909,-0.06995064,0.267250457,0.948085923,1.063078611,0.682710866,0.112823643,3.537477148,-121.9451554,95.19561243,3.36e-05,0.1200001,28.99447846,41.33333333,1860.0,1.0,19.9602888,4.0,20.8047655,1.0,21.6984558,1.0,0.0,6.555127532679816
3,converstational,no,0.384234196,0.355367405,0.352572694,0.371343389,0.085606212,-3199.976299,149042.0819,117941.2947,7998.482368,33.90090456,-0.073821832,0.268260979,0.947632371,1.070154329,0.718721106,0.09176184,3.603513174,-122.4215809,95.20953576,2.87e-05,0.111111333,29.71478041,40.0,2486.153846,1.0,21.8859628,4.0,30.353072,1.0,31.5548683,0.0,1.0,6.096447052723961
3,converstational,no,0.459122631,0.401224884,0.418848188,0.415978523,0.086327843,-3336.613066,148934.9338,117950.1065,7998.883453,33.85182381,-0.068473458,0.268094692,0.94794835,1.061035868,0.627252161,0.102881913,3.628407461,-122.3529412,95.31420373,2.65e-05,0.102564231,25.61681548,45.0,4142.857143,1.0,18.5208834,5.0,24.0206429,3.0,26.8853204,1.0,0.0,5.228129047119374
3,converstational,no,0.584194827,0.460438127,0.548815096,0.467129037,0.086920273,-3447.096503,148858.6378,117940.7445,7946.826962,33.83229333,-0.065943775,0.268200803,0.948026104,1.057951807,0.673529175,0.106621795,3.582329317,-122.3273092,95.38353414,3.19e-05,0.140740889,27.84036,32.0,8760.0,1.0,16.4349805,4.0,17.3214738,1.0,19.6169493,1.0,1.0,2.8284271247461903
3,converstational,no,0.403384569,0.337722209,0.371375995,0.307939405,0.087576437,-3567.659467,148904.1023,117951.5023,7970.72093,33.83473333,-0.065576507,0.268310665,0.948119011,1.058010819,0.677037094,0.112474548,3.591962906,-122.2720247,95.32921175,3.89e-05,0.115789474,32.35449615,33.54545455,2465.454545,1.0,23.1031608,4.0,24.0263018,1.0,24.81672,0.0,1.0,4.27466107109409
3,converstational,no,0.463447041,0.420741424,0.433472361,0.40642414,0.088252178,-3689.988567,148851.686,117942.5942,7924.025765,33.82671277,-0.065117175,0.268210273,0.948306581,1.06052488,0.676168539,0.104989831,3.666131621,-122.2776886,95.27929374,4.61e-05,0.109523857,37.44033867,41.71428571,1748.571429,2.0,19.9909965,4.0,20.7484693,1.0,24.8831669,1.0,1.0,8.650732040420905
3,converstational,no,0.301160532,0.235880009,0.266851942,0.169499705,0.088872964,-3800.72712,148829.7088,117958.859,7908.987179,33.80924096,-0.06452468,0.26779159,0.948468007,1.057444241,0.682620879,0.105727984,3.603290676,-122.2559415,95.33272395,3.36e-05,0.1133334,31.85026515,54.0625,1430.0,1.0,16.6383733,4.0,17.4488275,1.0,19.2562834,1.0,1.0,2.568235451303741
3,converstational,no,0.449629612,0.470085981,0.402611876,0.448480474,0.089400467,-3893.639302,148922.4004,118007.197,7955.875,33.79233803,-0.064080338,0.267750529,0.948475687,1.057936575,0.670739958,0.104417607,3.651162791,-122.2156448,95.42494715,2e-05,0.133333375,28.38704035,49.11111111,2128.888889,2.0,16.2679353,4.0,16.8451394,1.0,18.1840269,1.0,0.0,3.5862391318916687
3,converstational,no,0.350521321,0.350735854,0.32042996,0.355292547,0.089964904,-3991.786965,148820.4742,117994.4952,7875.377419,33.80068617,-0.063820225,0.267945425,0.948455859,1.054585875,0.679939005,0.108789116,3.706260032,-122.2841091,95.36918138,3.62e-05,0.143589692,28.36622533,57.5,1308.888889,2.0,16.6736607,4.0,20.1634963,1.0,21.9881643,0.0,0.0,2.431412080640045
3,converstational,no,0.463042933,0.416819455,0.429045142,0.41562093,0.090652752,-4109.769517,148784.5839,117953.3611,7899.065772,33.79973778,-0.051252688,0.264402945,0.949807229,1.044710843,0.649613941,0.117159155,3.674698795,-122.107095,95.61445783,3.63e-05,0.123809643,28.7836967,41.71428571,2197.142857,1.0,23.5695402,4.0,24.7736173,1.0,29.4641046,1.0,0.0,3.291681156364455
3,converstational,no,0.390043284,0.306180108,0.359974934,0.267573528,0.091274381,-4214.915189,148819.2998,117984.132,7900.684564,33.80525735,-0.051767857,0.263375,0.950194196,1.059321429,0.682147321,0.106079812,3.566964286,-122.2767857,95.61160714,4.37e-05,0.122222167,27.16531481,45.6,1736.0,2.0,15.1467343,4.0,15.9594763,1.0,17.3457959,1.0,1.0,4.550946177566937
3,converstational,no,0.443437229,0.409321637,0.407831167,0.430159944,0.0918905,-4317.637731,148861.8236,118011.5208,7898.913889,33.81246544,-0.050713296,0.263556787,0.950121884,1.062114958,0.670357836,0.107765832,3.731301939,-122.2977839,95.60110803,2.71e-05,0.1133334,24.20973218,42.0,1970.666667,2.0,21.0937497,4.0,21.9508821,1.0,23.8293615,1.0,1.0,2.449489742783178
3,converstational,no,0.299820386,0.297254652,0.263829541,0.253596855,0.092509133,-4419.491319,149037.5682,118085.7204,7918.563758,33.81286029,-0.053381696,0.265341518,0.949611607,1.065591518,0.663930493,0.066115023,3.578125,-122.0647321,95.66517857,2.97e-05,0.123809429,23.54732037,49.41666667,1310.0,2.0,15.1042267,5.0,16.201206,1.0,16.9907929,0.0,0.0,4.399552318822974
3,converstational,no,0.495638264,0.358189717,0.464489599,0.356463922,0.094130551,-4678.979001,149266.1376,118265.3742,7890.94296,33.82928986,-0.051248608,0.265064837,0.949018695,1.039438743,0.675241022,0.043858833,2.744,-120.4156722,96.04375497,3.5e-05,0.1200001,27.85395215,39.73809524,2410.47619,,,,,,,,,4.265914386351898
4,image,no,0.270026848,0.646105637,0.203234866,0.80580858,0.095835083,-4944.312188,149342.8221,118277.5587,7916.105705,33.87895,-0.063874582,0.26098495,0.947220736,1.020931438,0.669563238,-0.104567901,1.686956522,-120.3361204,96.6270903,4.8e-05,0.143589769,29.32829863,34.5,3653.333333,1.0,19.9708911,4.0,21.1438941,1.0,22.5334305,1.0,0.0,3.7282703764614498
4,image,no,0.489769594,0.410031492,0.459838942,0.403882336,0.096521896,-5048.175433,149318.603,118302.3821,7879.204478,33.89200493,-0.070802083,0.280811012,0.944236607,1.061153274,0.691090774,0.108715409,1.814371257,-120.0416667,96.40922619,4.12e-05,0.112820692,28.70924568,30.22222222,3017.777778,1.0,20.267051,4.0,21.8746377,1.0,26.1727056,1.0,1.0,3.1135902820449006
4,image,no,0.483740071,0.306651539,0.448973781,0.293950997,0.097162924,-5143.835287,149342.8369,118304.1977,7886.153551,33.9008481,-0.070764368,0.28105364,0.944250958,1.059706897,0.663298651,0.11104898,1.832046332,-120.0804598,96.38697318,2.52e-05,0.100000167,26.6781127,45.85714286,1668.571429,1.0,18.5754273,4.0,19.3759454,1.0,20.1399257,1.0,1.0,6.631592718044586
4,image,no,0.508852851,0.46808039,0.468834037,0.478376035,0.097842894,-5243.861701,149318.1583,118264.6917,7865.523611,33.89136866,-0.072004149,0.280063624,0.944347165,1.062879668,0.712125348,0.078969784,1.642756681,-119.857538,96.47302905,3.53e-05,0.103030455,23.68924598,39.375,3260.0,1.0,26.0606371,3.0,26.6844787,1.0,27.3377046,1.0,1.0,4.0686080455816125
4,image,no,0.468907448,0.294525882,0.43768154,0.238285658,0.098494173,-5338.445155,149248.2757,118270.505,7805.350101,33.89862667,-0.070532129,0.281371486,0.94388755,1.049594378,0.637220884,0.164322785,2.092369478,-120.3534137,96.36746988,3.79e-05,0.095238143,22.94080333,43.33333333,2940.0,1.0,17.7332397,4.0,18.4358412,1.0,19.5597852,1.0,0.0,2.7325202042558927
4,image,no,0.431927408,0.408107515,0.403681109,0.415473396,0.09908736,-5423.466901,149274.9715,118334.8188,7822.84396,33.91861326,-0.069700168,0.280778894,0.944162479,1.054345059,0.679454545,0.113811388,2.070469799,-120.4606365,96.35343384,4.36e-05,0.191666875,19.81623056,42.25,3645.0,1.0,20.3736241,3.0,22.1728827,3.0,23.40679,1.0,0.0,4.267819784654187
4,image,no,0.410429168,0.354299284,0.370284372,0.374142001,0.099783759,-5521.978205,149289.3408,118317.2462,7814.392211,33.92794495,-0.070354571,0.279968144,0.944469529,1.058735457,0.676775312,0.11198105,1.998611111,-120.5498615,96.36426593,4.03e-05,0.1083335,19.37863068,48.29411765,1665.882353,1.0,24.9673161,4.0,27.3231034,1.0,28.496058,1.0,0.0,4.9087257241868905
4,image,no,0.475506077,0.383938921,0.436533217,0.441862266,0.100478214,-5618.919129,149346.8231,118281.697,7844.943958,33.93667052,-0.069677138,0.279359511,0.944621291,1.062806283,0.670373473,0.108540741,2.05061082,-120.6143106,96.35776614,3.84e-05,0.096296556,20.71598971,45.11111111,2275.555556,1.0,20.6177792,4.0,21.3849133,1.0,22.5739512,1.0,1.0,2.4720661623652207
4,image,no,0.390259128,0.355093904,0.343088336,0.276256398,0.101073806,-5700.951724,149275.0175,118270.8459,7802.28021,33.94490116,-0.069272727,0.278734266,0.94491958,1.057300699,0.675444834,0.11149812,2.089473684,-120.3531469,96.37937063,4.84e-05,0.116666667,24.68393857,42.5,2468.0,1.0,20.3162309,4.0,21.0348142,1.0,21.8105835,0.0,0.0,3.027650354097492
4,image,no,0.421742491,0.509874524,0.398664752,0.454774892,0.101756995,-5793.859623,149295.225,118296.6819,7837.775,33.95278539,-0.071415512,0.2791759,0.944577562,1.068250693,0.708303621,0.099862974,1.928671329,-120.1398892,96.34072022,5.03e-05,0.155555444,23.06848046,32.5,2945.0,1.0,24.8991711,4.0,26.2455589,1.0,26.9974402,1.0,1.0,2.6186146828319083
4,image,no,0.453598594,0.334628012,0.424581364,0.263967862,0.102431169,-5884.38653,149400.8674,118360.1829,7863.840604,33.90888333,-0.077479933,0.280086957,0.943735786,1.05079097,0.666420168,0.116632979,1.875210793,-120.3478261,96.39464883,5.12e-05,0.106667,18.92966806,27.4,5528.0,2.0,17.5223549,5.0,21.5909282,1.0,22.7735066,0.0,1.0,2.5099800796022267
