Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt,Accuracy of AI response,Image authentic?,HRVar
6,converstational,no,0.396577738,0.340788337,0.399035575,0.396496028,0.199816698,-12540.89904,144958.0537,122974.5453,7650.598993,37.37967403,0.662165552,0.38776087,0.579548495,1.038095477,0.706976431,0.106411867,-17.96989967,-88.14715719,109.9849498,0.0002675,0.2,9.136394444,55.0952381,1118.095238,1,17.3236286,2,18.4822965,3,23.1989477,1,0,4.206004778
6,converstational,no,0.481433878,0.361294773,0.486785404,0.43118687,0.202245891,-12624.96507,144715.3932,123057.1282,7596.501832,37.47839113,0.650168088,0.397169306,0.586872107,1.05342561,0.591910319,0.078620957,-17.36175396,-89.07551766,110.1132765,0.0001398,0.066667,8.991256566,60.93333333,1100,2,25.0103137,1,26.8640647,1,31.260523,0,1,2.033060091
6,converstational,no,0.332437381,0.376432183,0.33391131,0.423450269,0.204590576,-12704.27378,144530.9851,123137.991,7636.667164,37.56083744,0.638706845,0.376883929,0.612974702,0.927220238,0.626219403,0.102056836,-18.28720238,-87.92113095,113.0238095,5.85E-05,0.066667,6.246153659,55.95238095,1280,2,15.6400884,2,19.1706262,1,25.9791805,0,0,3.41286083
6,converstational,no,0.587886059,0.482812521,0.593613973,0.549113368,0.206209549,-12758.00106,144536.2335,123268.9214,7638.469214,37.59938028,0.63244186,0.391765328,0.609209302,1.069199153,0.609810235,0.051946548,-16.76744186,-87.05708245,114.4334038,0.0003055,0.2,5.067924561,49,1412.307692,1,12.5631028,5,14.1249469,3,18.4659387,1,1,2.236067977
6,converstational,no,0.459534473,0.330866969,0.463857386,0.385724469,0.207746002,-12808.16679,144530.6245,123375.1683,7660.2,37.62247143,0.630083214,0.393424677,0.610558106,1.029262931,0.602829971,0.106401826,-16.39598278,-86.3974175,114.7747489,0.00014575,0.11666675,5.773902381,52.16,1132.8,1,13.9920313,5,15.2700308,1,25.7653569,1,0,4.52474677
6,converstational,no,0.624204624,0.475038103,0.632197294,0.542583065,0.209287985,-12857.79027,144611.6866,123365.8433,7657.71194,37.63518137,0.628723214,0.395674107,0.610092262,1.035776453,0.603389552,0.112020472,-16.18452381,-86.51041667,114.6681548,9.40E-05,0.10000025,9.456897531,58.69565217,1147.826087,1,21.1605124,1,16.986962,2,26.2011687,0,1,2.438978598
6,converstational,no,0.362942193,0.307590928,0.364549421,0.369640381,0.210393301,-12892.92441,144556.4046,123293.5727,7669.525394,37.60612209,0.629705061,0.397855148,0.607766143,1.018907504,0.596910053,0.095208566,-15.95811518,-86.44851658,114.7504363,0.000156,0.266667,6.247776812,57.26315789,1164.210526,1,19.1821486,1,20.5056639,2,21.8592224,1,0,2.18179603
6,converstational,no,0.488884681,0.42003556,0.492060056,0.469515513,0.211193167,-12918.11369,144582.9664,123401.0919,7708.139013,37.57942963,0.63065625,0.397747768,0.607037946,1.041308725,0.588457399,0.138113801,-16.10267857,-86.52901786,114.4821429,0.00013,0.1333335,5.55035,55.15384615,1381.538462,1,13.2711673,5,14.5376821,1,17.6472569,1,1,1.863963244
6,converstational,no,0.488628434,0.442768765,0.48767154,0.508495895,0.2115835,-12930.33672,144957.049,123721.2574,7641.134851,37.53231034,0.645541012,0.390815009,0.596631763,1.012537522,0.544333916,0.109116364,-17.07329843,-86.19895288,113.7277487,1.40E-05,0.066667,5.03212029,54.76190476,1140.952381,2,15.3779318,3,16.7256015,1,20.8429583,0,1,3.254301183
6,converstational,no,0.498659433,0.476633705,0.509741769,0.521589001,0.211807177,-12937.32001,144388.0504,123267.9294,7521.256048,37.48849333,0.651875252,0.40334004,0.579084507,1.011582661,0.533331313,-0.014097959,-20.60965795,-88.36217304,109.7042254,9.00E-05,0.066667,2.975581667,53,1573.333333,1,16.0628799,1,16.9699413,3,20.0390867,1,1,5.116817193
